とる,To take (a picture),撮る,u-verb,4,null,(～を)
まつ,To wait,待つ,u-verb,4,null,(～を)
あう,To meet / to see (a person),会う,u-verb,4,null,(Person)(に)
かく,To write (person) (a thing),書く,u-verb,4,null,(Person)(に)(Thing)(を)
ある,There is a (thing) at (place),null,u-verb,4,null,(Place)(に)(Thing)(が)
じょうず（な）,Good at,上手（な）,adjective,4,kanji,null
へた (な),Poor at,下手な,adjective,4,kanji,null
いちがつ,January,一月,noun,4,kanji,null
いちねんじゅう,All year round,一年中,noun,4,kanji,null
いつか,5th day of the month,五日,noun,4,kanji,null
いっかげつ,One Month,一か月,noun,4,kanji,null
うえ,Top / Above,上,noun,4,kanji,null
おかね,Money,お金,noun,4,kanji,null
おかねもち,Rich person,お金持ち,noun,4,kanji,null
おくじょう,Rooftop,屋上,noun,4,kanji,null
おととい,The day before yesterday,null,noun,4,kanji,null
おととし,The year before last,null,noun,4,kanji,null
かざん,Volcano,火山,noun,4,kanji,null
かせい,Mars,火星,noun,4,kanji,null
かようび,Tuesday,火曜日,noun,4,kanji,null
き,Tree,木,noun,4,kanji,null
きのう,Yesterday,昨日,noun,4,kanji,null
きむらさん,Mr./Mrs. Kimura,木村さん,noun,4,kanji,null
きんようび,Friday,金曜日,noun,4,kanji,null
くがつ,September,九月,noun,4,kanji,null
げつようび,Monday,月曜日,noun,4,kanji,null
ごがつ,May,五月,noun,4,kanji,null
ここのか,9th day of the month,九日,noun,4,kanji,null
このひと,This person,この人,noun,4,kanji,null
こんげつ,This Month,今月,noun,4,kanji,null
さらいげつ,The month after next,再来月,noun,4,kanji,null
さらいしゅう,The week after next,再来週,noun,4,kanji,null
さらいねん,The year after next,再来年,noun,4,kanji,null
さんがつ,March,三月,noun,4,kanji,null
さんじはん,Half past three,三時半,noun,4,kanji,null
さんにん,Three people,三人,noun,4,kanji,null
しがつ,April,四月,noun,4,kanji,null
しちがつ,July,七月,noun,4,kanji,null
じゅういちがつ,November,十一月,noun,4,kanji,null
じゅういちにち,11th day of the month,十一日,noun,4,kanji,null
じゅうがつ,October,十月,noun,4,kanji,null
じゅうにがつ,December,十二月,noun,4,kanji,null
じゅうよっか,14th day of the month,十四日,noun,4,kanji,null
すいえい,Swimming,水泳,noun,4,kanji,null
すいどう,Water supply,水道,noun,4,kanji,null
すいようび,Wednesday,水曜日,noun,4,kanji,null
ちかてつ,Subway,地下鉄,noun,4,kanji,null
ちゅうがく,Junior high school,中学,noun,4,kanji,null
ちゅうごく,China,中国,noun,4,kanji,null
ついたち,1st day of the month,一日,noun,4,kanji,null
つき,Moon,月,noun,4,kanji,null
つち,Soil,土,noun,4,kanji,null
とおか,10th day of the month,十日,noun,4,kanji,null
とち,Land,土地,noun,4,kanji,null
どようび,Saturday,土曜日,noun,4,kanji,null
なのか,7th day of the month,七日,noun,4,kanji,null
にかげつまえ,Two months ago,二か月前,noun,4,kanji,null
にがつ,February,二月,noun,4,kanji,null
にしゅうかんまえ,Two weeks ago,二週間前,noun,4,kanji,null
にちようび,Sunday,日曜日,noun,4,kanji,null
にっき,Diary,日記,noun,4,kanji,null
にほん,Japan,日本,noun,4,kanji,null
にほんご,Japanese,日本語,noun,4,kanji,null
にほんじん,Japanese people,日本人,noun,4,kanji,null
ねんど,Clay,粘土,noun,4,kanji,null
はちがつ,August,八月,noun,4,kanji,null
はなび,Fireworks,花火,noun,4,kanji,null
ははのひ,Mother's day,母の日,noun,4,kanji,null
はんがく,Half price,半額,noun,4,kanji,null
はんとし,Half a year,半年,noun,4,kanji,null
はんぶん,Half,半分,noun,4,kanji,null
ひ,Fire,火,noun,4,kanji,null
ふつか,2nd day of the month,二日,noun,4,kanji,null
ほん,Book,本,noun,4,kanji,null
みず,Water,水,noun,4,kanji,null
みずぎ,Bathing suit,水着,noun,4,kanji,null
みっか,3rd day of the month,三日,noun,4,kanji,null
みっか,Three days,三日,noun,4,kanji,null
むいか,6th day of the month,六日,noun,4,kanji,null
もくようび,Thursday,木曜日,noun,4,kanji,null
やまもとさん,Mr./Mrs. Yamamoto,山本さん,noun,4,kanji,null
ようか,8th day of the month,八日,noun,4,kanji,null
ようび,Day of the week,曜日,noun,4,kanji,null
よっか,4th day of the month,四日,noun,4,kanji,null
りょうきん,Charge,料金,noun,4,kanji,null
ろくがつ,June,六月,noun,4,kanji,null
した,Under,下,other,4,kanji,(～の)
なか,Inside,中,other,4,kanji,(～の)
ひだり,Left,左,other,4,kanji,(～の)
みぎ,Right (directional),右,other,4,kanji,(～の)
ください,Please give / do . . .,下さい,other,4,kanji,null
ひとりで,Alone,一人で,other,4,kanji,null
のぼる,To go up,上る,u-verb,4,kanji,null
かっこいい ,Good-looking (conjugates like いい),null,adjective,5,null,null
あたらしい,New,新しい,adjective,5,null,null
あつい,Hot,暑い,adjective,5,null,null
いそがしい,Busy,忙しい,adjective,5,null,null
おおきい,Large,大きい,adjective,5,null,null
おもしろい,Interesting / Funny,面白い,adjective,5,null,null
きらい（な）,Disgusted with / to dislike,嫌い（な）,adjective,5,null,null
きれい（な）,Beautiful / Clean,null,adjective,5,null,null
げんき（な）,Healthy / Energetic,元気（な）,adjective,5,null,null
こわい,Frightening,怖い,adjective,5,null,null
さむい,Cold (temperature),寒い,adjective,5,null,null
しずか（な）,Quiet,静か（な）,adjective,5,null,null
すき（な）,Fond of / To like,好き（な）,adjective,5,null,null
だいきらい（な）,To hate,大嫌い（な）,adjective,5,null,null
だいすき（な）,Very fond of / to love,大好き（な）,adjective,5,null,null
たのしい,Fun,楽しい,adjective,5,null,null
ちいさい,Small,小さい,adjective,5,null,null
つまらない,Boring,null,adjective,5,null,null
にぎやか（な）,Lively,null,adjective,5,null,null
ひま（な）,Not busy / To have a lot of free time,暇（な）,adjective,5,null,null
ふるい,Old (for things),古い,adjective,5,null,null
むずかしい,Difficult,難しい,adjective,5,null,null
やさしい,Easy (problem) / Kind (person),null,adjective,5,null,null
やすい,Inexpensive / Cheap (thing),安い,adjective,5,null,null
～ましょう／～ましょうか,Let's . . . / Let's . . . ?,null,grammar,5,null,null
さむい➞さむいです,Adjective conjugation (affirmative),null,grammar,5,null,null
さむい➞さむかったです,Past-tense adjective conjugation (affirmative),null,grammar,5,null,null
さむい➞さむくないです／さむくありません,Adjective conjugation (negative),null,grammar,5,null,null
さむい➞さむくなかったです／さむくありませんでした,Past-tense adjective conjugation (negative),null,grammar,5,null,null
うみ,Sea,海,noun,5,null,null
おしろ,Castle,null,noun,5,null,null
おまんじゅう,Sweet Bun,null,noun,5,null,null
かきとめ,Registered mail,書留,noun,5,null,null
きって,Postal Stamp,切手,noun,5,null,null
きっぷ,Ticket,切符,noun,5,null,null
こうくうびん,Airmail,航空便,noun,5,null,null
こづつみ,Parcel,小包,noun,5,null,null
サーフィン,Surfing,null,noun,5,null,null
しゅくだい,Homework,宿題,noun,5,null,null
そくたつ,Special delivery,速達,noun,5,null,null
たんじょうび,Birthday,誕生日,noun,5,null,null
テスト,Test,null,noun,5,null,null
はがき,Postcard,葉書,noun,5,null,null
バス,Bus,null,noun,5,null,null
ひこうき,Airplane,飛行機,noun,5,null,null
ふなびん,Surface mail,船便,noun,5,null,null
へや,Room,部屋,noun,5,null,null
ぼく,I (used by men),僕,noun,5,null,null
ほけん,Insurance,保険,noun,5,null,null
まどぐち,Counter,窓口,noun,5,null,null
やすみ,Holiday / Day off / Absence,休み,noun,5,null,null
（こうくうびん）でおねがいします。,Make this (an airmail)、Please. (Post Office),（航空便）でお願いします。,other,5,null,null
～まい,Counter for flat objects,～枚,other,5,null,null
～まで,to (a place) / as far s (a place) / till (a time),null,other,5,null,null
いっしょに,Together,一緒に,other,5,null,null
ごじゅうえんきってをさんまいください。,Give me three 50-yen stamps、please. (Post Office),五十円切手を三枚ください。,other,5,null,null
これ、おねがいします。,Can you take care of this、please? (Post Office),これ、お願いします。,other,5,null,null
すごく,Extremely,null,other,5,null,null
それから,and then,null,other,5,null,null
だいじょうぶ,It's Okay / Not to worry / Everything is under control,大丈夫,other,5,null,null
では、おげんきで,Take care,では、お元気で,other,5,null,null
とても,Very,null,other,5,null,null
どんな,what kind of . . .,null,other,5,null,null
なんにちぐらいかかりますか,How many days will it take? (Post Office),何日ぐらいかかりますか。,other,5,null,null
ひゃくごじゅうえんになります。,It will be 150 yen. (Post Office),百五十円になります。,other,5,null,null
また,Again,null,other,5,null,null
でかける,To go out,出かける,ru-verb,5,null,null
およぐ,To swim,泳ぐ,u-verb,5,null,null
きく,To ask,聞く,u-verb,5,null,null
のる,To ride / To board,乗る,u-verb,5,null,null
やる,To do / To perform,null,u-verb,5,null,null
げんき（な）,Fine,元気（な）,adjective,5,kanji,null
いけん,Opinion,意見,noun,5,kanji,null
いちぎょうめ,First line,一行目,noun,5,kanji,null
いま,Now,今,noun,5,kanji,null
いんしゅうんてん,Drunken driving,飲酒運転,noun,5,kanji,null
おがわさん,Mr./Ms. Ogawa,小川さん,noun,5,kanji,null
おとこのこ,Boy,男の子,noun,5,kanji,null
おとこのひと,Man,男の人,noun,5,kanji,null
おんなのこ,Girl,女の子,noun,5,kanji,null
おんなのひと,Woman,女の人,noun,5,kanji,null
かわ,River,川,noun,5,kanji,null
がんじつ,The first day of the year,元日,noun,5,kanji,null
きもち,Feeling,気持ち,noun,5,kanji,null
きょう,Today,今日,noun,5,kanji,null
ぎんこう,Bank,銀行,noun,5,kanji,null
けんぶつ,Sightseeing,見物,noun,5,kanji,null
ことし,This year,今年,noun,5,kanji,null
こんげつ,This Month,今月,noun,5,kanji,null
こんばん,Tonight,今晩,noun,5,kanji,null
してつ,Private railroad,私鉄,noun,5,kanji,null
じもと,Local,地元,noun,5,kanji,null
しょくじ,Meal,食事,noun,5,kanji,null
しょくどう,Cafeteria,食堂,noun,5,kanji,null
じょせい,Woman,女性,noun,5,kanji,null
しりつだいがく,Private university,私立大学,noun,5,kanji,null
たなかさん,Mr./Ms. Tanaka,田中さん,noun,5,kanji,null
たべもの,Food,食べ物,noun,5,kanji,null
だんしがくせい,Male student,男子学生,noun,5,kanji,null
だんせい,Man,男性,noun,5,kanji,null
たんぼ,Rice Field,田んぼ,noun,5,kanji,null
ちょうじょ,The eldest daughter,長女,noun,5,kanji,null
ちょうしょく,Breakfast,朝食,noun,5,kanji,null
てんき,Weather,天気,noun,5,kanji,null
でんき,Electricity,電気,noun,5,kanji,null
てんごく,Heaven,天気,noun,5,kanji,null
てんさい,Genius,天才,noun,5,kanji,null
てんのう,Japanese emperor,天皇,noun,5,kanji,null
にんき,Popularity,人気,noun,5,kanji,null
のみもの,Drink,飲み物,noun,5,kanji,null
はなみ,Flower viewing,花見,noun,5,kanji,null
ふじさん,Mt. Fuji,富士山,noun,5,kanji,null
やま,Mountain,山,noun,5,kanji,null
やまかわさん,Mr./Ms. Yamakawa,山川さん,noun,5,kanji,null
やまださん,Mr./Ms. Yamada,山田さん,noun,5,kanji,null
りょこう,Travel,旅行,noun,5,kanji,null
わたし,I,私,noun,5,kanji,null
たべる,To eat,食べる,ru-verb,5,kanji,null
みる,To see,見る,ru-verb,5,kanji,null
(Destination)(に／へ)　いく,To go,(Destination)(に／へ)　行く,u-verb,5,kanji,null
のむ,To drink,飲む,u-verb,5,kanji,null
～から,Explains the reason,null,grammar,6,null,null
